title,type,agency_names,abstract,document_number,html_url,pdf_url,publication_date
Energy Conservation Program: Energy Conservation Standards for Battery Chargers,Rule,Energy Department,"The Energy Policy and Conservation Act of 1975, as amended (``EPCA'' or in context, ``the Act''), prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment, including battery chargers. EPCA also requires the U.S. Department of Energy (``DOE'' or, in context, ``the Department'') to determine whether Federal energy conservation standards for a particular type of product or equipment would be technologically feasible and economically justified, and would save a significant amount of energy. On March 27, 2012, DOE published a notice of proposed rulemaking (``NOPR'') to establish energy conservation standards for battery chargers. Responding to stakeholder comments, DOE updated its analysis and revised its proposed approach, resulting in a supplemental notice of proposed rulemaking (``SNOPR'') published on September 1, 2015. After considering all the stakeholder comments responding to the SNOPR, DOE is adopting the proposed energy conservation standards for battery chargers in this final rule. DOE has determined that these standards will result in the significant conservation of energy and are technologically feasible and economically justified.", 2016-12835,https://www.federalregister.gov/documents/2016/06/13/2016-12835/energy-conservation-program-energy-conservation-standards-for-battery-chargers,https://www.govinfo.gov/content/pkg/FR-2016-06-13/pdf/2016-12835.pdf,06/13/2016
Emission Guidelines and Compliance Times for Municipal Solid Waste Landfills,Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA) is finalizing a new subpart that updates the Emission Guidelines and Compliance Times for Municipal Solid Waste Landfills (Emission Guidelines). The EPA reviewed the landfills Emission Guidelines based on changes in the landfills industry since the Emission Guidelines were promulgated in 1996. The EPA's review of the Emission Guidelines for municipal solid waste (MSW) landfills considered landfills that accepted waste after November 8, 1987, and commenced construction, reconstruction, or modification on or before July 17, 2014. Based on this review, the EPA has determined that it is appropriate to revise the Emission Guidelines to reflect changes to the population of landfills and the results of an analysis of the timing and methods for reducing emissions. This action will achieve additional reductions in emissions of landfill gas and its components, including methane, by lowering the emissions threshold at which a landfill must install controls. This action also incorporates new data and information received in response to an advanced notice of proposed rulemaking and a proposed rulemaking and addresses other regulatory issues including surface emissions monitoring, wellhead monitoring, and the definition of landfill gas treatment system. The revised Emission Guidelines, once implemented through revised state plans or a revised federal plan, will reduce emissions of landfill gas, which contains both nonmethane organic compounds and methane. Landfills are a significant source of methane, which is a potent greenhouse gas pollutant. These avoided emissions will improve air quality and reduce the potential for public health and welfare effects associated with exposure to landfill gas emissions.", 2016-17700,https://www.federalregister.gov/documents/2016/08/29/2016-17700/emission-guidelines-and-compliance-times-for-municipal-solid-waste-landfills,https://www.govinfo.gov/content/pkg/FR-2016-08-29/pdf/2016-17700.pdf,08/29/2016
Standards of Performance for Municipal Solid Waste Landfills,Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA) is finalizing a new subpart that updates the Standards of Performance for Municipal Solid Waste Landfills. Under section 111 of the Clean Air Act, the EPA must review, and, if appropriate, revise standards of performance at least every 8 years. The EPA's review of the standards for municipal solid waste landfills considered landfills that commence construction, reconstruction, or modification after July 17, 2014. The final standards also reflect changes to the population of landfills and an analysis of the timing and methods for reducing emissions. This action will achieve additional reductions in emissions of landfill gas and its components, including methane, by lowering the emissions threshold at which a landfill must install controls. This action also incorporates new data and information received in response to the proposed rulemaking and addresses other regulatory issues including surface emissions monitoring, wellhead monitoring, and the definition of landfill gas treatment system. The new subpart will reduce emissions of landfill gas, which contains both nonmethane organic compounds and methane. Landfills are a significant source of methane, which is a potent greenhouse gas pollutant. These avoided emissions will improve air quality and reduce the potential for public health and welfare effects associated with exposure to landfill gas emissions.", 2016-17687,https://www.federalregister.gov/documents/2016/08/29/2016-17687/standards-of-performance-for-municipal-solid-waste-landfills,https://www.govinfo.gov/content/pkg/FR-2016-08-29/pdf/2016-17687.pdf,08/29/2016
Energy Conservation Program: Energy Conservation Standards for Pumps,Rule,Energy Department,"The Energy Policy and Conservation Act of 1975 (EPCA), as amended, sets forth a variety of provisions designed to improve energy efficiency. Part C of Title III establishes the ``Energy Conservation Program for Certain Industrial Equipment.'' The covered equipment includes pumps. In this final rule, the U.S. Department of Energy (DOE) adopts new energy conservation standards for pumps. DOE has determined that the new energy conservation standards for pumps would result in significant conservation of energy, and are technologically feasible and economically justified.", 2016-00324,https://www.federalregister.gov/documents/2016/01/26/2016-00324/energy-conservation-program-energy-conservation-standards-for-pumps,https://www.govinfo.gov/content/pkg/FR-2016-01-26/pdf/2016-00324.pdf,01/26/2016
Energy Conservation Program: Energy Conservation Standards for Commercial Prerinse Spray Valves,Rule,Energy Department,"The Energy Policy and Conservation Act of 1975 (EPCA), as amended, prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment, including commercial prerinse spray valves (CPSVs). EPCA also requires the U.S. Department of Energy (DOE) to periodically determine whether more- stringent standards would be technologically feasible and economically justified, and would save a significant amount of energy. In this final rule, DOE is adopting more-stringent energy conservation standards for commercial prerinse spray valves because DOE has determined that the amended energy conservation standards for these products would result in significant conservation of energy, and are technologically feasible and economically justified.", 2016-00068,https://www.federalregister.gov/documents/2016/01/27/2016-00068/energy-conservation-program-energy-conservation-standards-for-commercial-prerinse-spray-valves,https://www.govinfo.gov/content/pkg/FR-2016-01-27/pdf/2016-00068.pdf,01/27/2016
Energy Conservation Program: Energy Conservation Standards for Ceiling Fan Light Kits,Rule,Energy Department,"The Energy Policy and Conservation Act of 1975 (EPCA), as amended, prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment, including ceiling fan light kits (CFLKs). EPCA also requires the U.S. Department of Energy (DOE) to periodically determine whether more-stringent standards would be technologically feasible and economically justified, and would save a significant amount of energy. In this final rule, DOE is adopting more-stringent energy conservation standards for CFLKs. It has determined that the amended energy conservation standards for these products would result in significant conservation of energy, and are technologically feasible and economically justified.", 2015-33071,https://www.federalregister.gov/documents/2016/01/06/2015-33071/energy-conservation-program-energy-conservation-standards-for-ceiling-fan-light-kits,https://www.govinfo.gov/content/pkg/FR-2016-01-06/pdf/2015-33071.pdf,01/06/2016
Energy Conservation Program: Energy Conservation Standards for Residential Boilers,Rule,Energy Department,"The Energy Policy and Conservation Act of 1975 (EPCA), as amended, prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment, including residential boilers. EPCA also requires the U.S. Department of Energy (DOE) to periodically determine whether more-stringent, amended standards would be technologically feasible and economically justified, and would save a significant amount of energy. In this final rule, DOE is adopting more-stringent energy conservation standards for residential boilers. It has determined that the amended energy conservation standards for these products would result in significant conservation of energy, and are technologically feasible and economically justified.", 2016-00025,https://www.federalregister.gov/documents/2016/01/15/2016-00025/energy-conservation-program-energy-conservation-standards-for-residential-boilers,https://www.govinfo.gov/content/pkg/FR-2016-01-15/pdf/2016-00025.pdf,01/15/2016
"Energy Conservation Program for Certain Industrial Equipment: Energy Conservation Standards for Small, Large, and Very Large Air-Cooled Commercial Package Air Conditioning and Heating Equipment and Commercial Warm Air Furnaces",Rule,Energy Department,"The Energy Policy and Conservation Act of 1975, as amended (EPCA), prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment, including small, large, and very large air-cooled commercial package air conditioning and heating equipment and commercial warm air furnaces. EPCA also requires that the U.S. Department of Energy (DOE) periodically review and consider amending its standards for specified categories of industrial equipment, including commercial heating and air conditioning equipment, in order to determine whether more- stringent, amended standards would be technologically feasible and economically justified, and save a significant additional amount of energy. In this direct final rule, DOE is amending the energy conservation standards for both small, large, and very large air-cooled commercial package air conditioning and heating equipment and commercial warm air furnaces after determining that the amended energy conservation standards being adopted for these equipment would result in the significant conservation of energy and be technologically feasible and economically justified.", 2015-33067,https://www.federalregister.gov/documents/2016/01/15/2015-33067/energy-conservation-program-for-certain-industrial-equipment-energy-conservation-standards-for-small,https://www.govinfo.gov/content/pkg/FR-2016-01-15/pdf/2015-33067.pdf,01/15/2016
Energy Conservation Program: Energy Conservation Standards for Refrigerated Bottled or Canned Beverage Vending Machines,Rule,Energy Department,"The Energy Policy and Conservation Act of 1975 (EPCA), as amended, prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment, including refrigerated bottled or canned beverage vending machines (beverage vending machines or BVM). EPCA also requires the U.S. Department of Energy (DOE) to periodically determine whether more-stringent standards would be technologically feasible and economically justified, and would save a significant amount of energy. In this final rule, DOE is amending the energy conservation standards for Class A and Class B beverage vending machines. DOE is also amending the definition for Class A equipment to more unambiguously differentiate Class A and Class B beverage vending machines. In addition, DOE is amending the definition of combination vending machine, is defining two new classes of combination vending machines, Combination A and Combination B, and is promulgating standards for those new classes. Finally, DOE is adopting new provisions that DOE will use to verify the appropriate equipment class and refrigerated volume during enforcement testing.", 2015-33074,https://www.federalregister.gov/documents/2016/01/08/2015-33074/energy-conservation-program-energy-conservation-standards-for-refrigerated-bottled-or-canned,https://www.govinfo.gov/content/pkg/FR-2016-01-08/pdf/2015-33074.pdf,01/08/2016
Carbon Pollution Emission Guidelines for Existing Stationary Sources: Electric Utility Generating Units,Rule,Environmental Protection Agency,"In this action, the Environmental Protection Agency (EPA) is establishing final emission guidelines for states to follow in developing plans to reduce greenhouse gas (GHG) emissions from existing fossil fuel-fired electric generating units (EGUs). Specifically, the EPA is establishing: Carbon dioxide (CO<INF>2</INF>) emission performance rates representing the best system of emission reduction (BSER) for two subcategories of existing fossil fuel-fired EGUs--fossil fuel-fired electric utility steam generating units and stationary combustion turbines; state-specific CO<INF>2</INF> goals reflecting the CO<INF>2</INF> emission performance rates; and guidelines for the development, submittal and implementation of state plans that establish emission standards or other measures to implement the CO<INF>2</INF> emission performance rates, which may be accomplished by meeting the state goals. This final rule will continue progress already underway in the U.S. to reduce CO<INF>2</INF> emissions from the utility power sector.", 2015-22842,https://www.federalregister.gov/documents/2015/10/23/2015-22842/carbon-pollution-emission-guidelines-for-existing-stationary-sources-electric-utility-generating,https://www.govinfo.gov/content/pkg/FR-2015-10-23/pdf/2015-22842.pdf,10/23/2015
Energy Conservation Program: Energy Conservation Standards for Single Package Vertical Air Conditioners and Single Package Vertical Heat Pumps,Rule,Energy Department,"The Energy Policy and Conservation Act of 1975 (EPCA), as amended, prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment, including single package vertical air conditioner (SPVAC) and single package vertical heat pump (SPVHP) equipment (collectively referred to as single package vertical units or SPVUs). EPCA also requires the U.S. Department of Energy (DOE) to determine whether more-stringent standards for SPVACs and SPVHPs would be technologically feasible and economically justified, and would save a significant amount of energy. In this final rule, DOE is adopting standards equivalent to the American National Standards Institute (ANSI)/American Society of Heating, Refrigerating and Air-Conditioning Engineers (ASHRAE)/ Illuminating Engineering Society (IES) Standard 90.1-2013 levels for four SPVU equipment classes, and adopting amended energy conservation standards for two other equipment classes of single package vertical units more stringent than the SPVU standards in ASHRAE Standard 90.1- 2013. DOE has determined that the amended energy conservation standards for this equipment are technologically feasible and economically justified, and would result in the significant conservation of energy.", 2015-23029,https://www.federalregister.gov/documents/2015/09/23/2015-23029/energy-conservation-program-energy-conservation-standards-for-single-package-vertical-air,https://www.govinfo.gov/content/pkg/FR-2015-09-23/pdf/2015-23029.pdf,09/23/2015
Effluent Limitations Guidelines and Standards for the Steam Electric Power Generating Point Source Category,Rule,Environmental Protection Agency,"This final rule, promulgated under the Clean Water Act (CWA), protects public health and the environment from toxic metals and other harmful pollutants, including nutrients, by strengthening the technology-based effluent limitations guidelines and standards (ELGs) for the steam electric power generating industry. Steam electric power plants contribute the greatest amount of all toxic pollutants discharged to surface waters by industrial categories regulated under the CWA. The pollutants discharged by this industry can cause severe health and environmental problems in the form of cancer and non-cancer risks in humans, lowered IQ among children, and deformities and reproductive harm in fish and wildlife. Many of these pollutants, once in the environment, remain there for years. Due to their close proximity to these discharges and relatively high consumption of fish, some minority and low-income communities have greater exposure to, and are therefore at greater risk from, pollutants in steam electric power plant discharges. The final rule establishes the first nationally applicable limits on the amount of toxic metals and other harmful pollutants that steam electric power plants are allowed to discharge in several of their largest sources of wastewater. On an annual basis, the rule reduces the amount of toxic metals, nutrients, and other pollutants that steam electric power plants are allowed to discharge by 1.4 billion pounds; it reduces water withdrawal by 57 billion gallons; and, it has social costs of $480 million and monetized benefits of $451 to $566 million.", 2015-25663,https://www.federalregister.gov/documents/2015/11/03/2015-25663/effluent-limitations-guidelines-and-standards-for-the-steam-electric-power-generating-point-source,https://www.govinfo.gov/content/pkg/FR-2015-11-03/pdf/2015-25663.pdf,11/03/2015
Energy Conservation Program: Energy Conservation Standards for Packaged Terminal Air Conditioners and Packaged Terminal Heat Pumps,Rule,Energy Department,"The Energy Policy and Conservation Act of 1975 (EPCA), as amended, prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment, including packaged terminal air conditioner (PTAC) and packaged terminal heat pump (PTHP) equipment. EPCA requires the U.S. Department of Energy (DOE) to determine whether more-stringent standards for PTACs and PTHPs would be technologically feasible and economically justified, and would save a significant amount of energy. In this final rule, DOE is adopting amended energy conservation standards for PTACs equivalent to the PTAC standards in American National Standards Institute (ANSI)/ American Society of Heating, Refrigerating, and Air-Conditioning Engineers (ASHRAE)/Illuminating Engineering Society (IES) Standard 90.1-2013. DOE is not amending the current energy conservation standards for PTHPs, which are already equivalent to the PTHP standards in ANSI/ASHRAE/IES Standard 90.1-2013. DOE has determined that adoption of PTAC and PTHP standards more stringent than ANSI/ASHRAE/IES Standard 90.1-2013 is not economically justified.", 2015-16897,https://www.federalregister.gov/documents/2015/07/21/2015-16897/energy-conservation-program-energy-conservation-standards-for-packaged-terminal-air-conditioners-and,https://www.govinfo.gov/content/pkg/FR-2015-07-21/pdf/2015-16897.pdf,07/21/2015
"Energy Conservation Program for Certain Industrial Equipment: Energy Conservation Standards and Test Procedures for Commercial Heating, Air-Conditioning, and Water-Heating Equipment",Rule,Energy Department,"The U.S. Department of Energy (DOE) is amending its energy conservation standards for small three-phase commercial air-cooled air conditioners (single package only) and heat pumps (single package and split system) less than 65,000 Btu/h; water-source heat pumps; and commercial oil-fired storage water heaters. Pursuant to the Energy Policy and Conservation Act of 1975 (EPCA), as amended, DOE must assess whether the uniform national standards for these covered equipment need to be updated each time the corresponding industry standard--the American National Standards Institute (ANSI)/American Society of Heating, Refrigerating, and Air-Conditioning Engineers (ASHRAE)/ Illuminating Engineering Society of North America (IESNA) Standard 90.1 (ASHRAE Standard 90.1)--is amended, which most recently occurred on October 9, 2013. Under EPCA, DOE may only adopt more stringent standards if there is clear and convincing evidence showing that more stringent amended standards would be technologically feasible and economically justified, and would save a significant additional amount of energy. The levels DOE is adopting are the same as the efficiency levels specified in ASHRAE Standard 90.1-2013. DOE has determined that the ASHRAE Standard 90.1-2013 efficiency levels for the equipment types listed above are more stringent than existing Federal energy conservation standards and will result in economic and energy savings compared existing energy conservation standards. Furthermore, DOE has concluded that clear and convincing evidence does not exist that would justify more-stringent standard levels than the efficiency levels in ASHRAE Standard 90.1-2013 for any of the equipment classes. DOE has also determined that the standards for small three-phase commercial air-cooled air conditioners (split system) do not need to be amended. DOE is also updating the current Federal test procedure for commercial warm-air furnaces to incorporate by reference the most current version of the American National Standards Institute (ANSI) Z21.47, Gas-fired central furnaces, specified in ASHRAE Standard 90.1, and the most current version of ASHRAE 103, Method of Testing for Annual Fuel Utilization Efficiency of Residential Central Furnaces and Boilers.", 2015-16927,https://www.federalregister.gov/documents/2015/07/17/2015-16927/energy-conservation-program-for-certain-industrial-equipment-energy-conservation-standards-and-test,https://www.govinfo.gov/content/pkg/FR-2015-07-17/pdf/2015-16927.pdf,07/17/2015
"Standards of Performance for Greenhouse Gas Emissions From New, Modified, and Reconstructed Stationary Sources: Electric Utility Generating Units",Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA) is finalizing new source performance standards (NSPS) under Clean Air Act (CAA) section 111(b) that, for the first time, will establish standards for emissions of carbon dioxide (CO<INF>2</INF>) for newly constructed, modified, and reconstructed affected fossil fuel-fired electric utility generating units (EGUs). This action establishes separate standards of performance for fossil fuel-fired electric utility steam generating units and fossil fuel-fired stationary combustion turbines. This action also addresses related permitting and reporting issues. In a separate action, under CAA section 111(d), the EPA is issuing final emission guidelines for states to use in developing plans to limit CO<INF>2</INF> emissions from existing fossil fuel-fired EGUs.", 2015-22837,https://www.federalregister.gov/documents/2015/10/23/2015-22837/standards-of-performance-for-greenhouse-gas-emissions-from-new-modified-and-reconstructed-stationary,https://www.govinfo.gov/content/pkg/FR-2015-10-23/pdf/2015-22837.pdf,10/23/2015
Final Affordability Determination-Energy Efficiency Standards,Rule,Agriculture Department; Housing and Urban Development Department,"The U.S. Department of Housing and Urban Development (HUD) and the U.S. Department of Agriculture (USDA) have determined that adoption of the 2009 edition of the International Energy Conservation Code (IECC) for single family homes and the 2007 edition of the American Society of Heating, Refrigerating and Air-conditioning Engineers (ASHRAE) 90.1 for multifamily buildings will not negatively affect the affordability and availability of certain HUD- and USDA-assisted housing specified in section 481 of the Energy and Independence and Security Act of 2007 (EISA). This determination fulfills a statutory requirement established under EISA that HUD and USDA adopt revisions to the 2006 IECC and ASHRAE 90.1-2004 subject to: A determination that the revised codes do not negatively affect the availability or affordability of new construction of single family and multifamily housing covered by EISA; and a determination by the Secretary of Energy that the revised codes ``would improve energy efficiency.'' For the more recent IECC and ASHRAE codes that have been published since the publication of the 2009 IECC and ASHRAE 90.1-2007, HUD and USDA intend to follow this Notice of Final Determination with an advance notice that addresses the next steps the agencies plan to take on the 2015 IECC and ASHRAE 90.1-2013 codes.", 2015-10380,https://www.federalregister.gov/documents/2015/05/06/2015-10380/final-affordability-determination-energy-efficiency-standards,https://www.govinfo.gov/content/pkg/FR-2015-05-06/pdf/2015-10380.pdf,05/06/2015
Final Action Regarding “Other Relevant Criteria” for Consideration When Evaluating the Economic Soundness of Title XI Maritime Loan Guarantee Program Applications,Rule,Transportation Department; Maritime Administration,"This document serves to inform interested parties and the public of the Maritime Administration's (MARAD) final policy regarding the factors MARAD will consider as ``Other Relevant Criteria'' in its review of the economic soundness of applications under the Title XI Loan Guarantee Program [also known as ``Title XI'' or the Federal Ship Financing Program (FSFP)]. On February 24, 2014, MARAD published a Notice of Proposed Policy (NPP) and sought comments relating to the agency's evaluation of Title XI Maritime Loan Guarantee applications. In this document MARAD: Responds to comments received during the public notice; clarifies and reinforces that applicants with projects to construct or reconstruct vessels to use alternative energies, or to meet current or future U.S. or international environmental and safety standards, are eligible and encouraged to apply for FSFP loan guarantees; and implements the final policy.", 2015-09385,https://www.federalregister.gov/documents/2015/04/22/2015-09385/final-action-regarding-other-relevant-criteria-for-consideration-when-evaluating-the-economic,https://www.govinfo.gov/content/pkg/FR-2015-04-22/pdf/2015-09385.pdf,04/22/2015
Energy Conservation Program: Energy Conservation Standards for Automatic Commercial Ice Makers,Rule,Energy Department,"The Energy Policy and Conservation Act of 1975 (EPCA), as amended, prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment, including automatic commercial icemakers (ACIM). EPCA also requires the U.S. Department of Energy (DOE) to determine whether more-stringent standards would be technologically feasible and economically justified, and would save a significant amount of energy. In this final rule, DOE is adopting more-stringent energy conservation standards for some classes of automatic commercial ice makers as well as establishing energy conservation standards for other classes of automatic commercial ice makers. It has determined that the amended energy conservation standards for these products would result in significant conservation of energy, and are technologically feasible and economically justified.", 2015-00326,https://www.federalregister.gov/documents/2015/01/28/2015-00326/energy-conservation-program-energy-conservation-standards-for-automatic-commercial-ice-makers,https://www.govinfo.gov/content/pkg/FR-2015-01-28/pdf/2015-00326.pdf,01/28/2015
Energy Conservation Program: Energy Conservation Standards for General Service Fluorescent Lamps and Incandescent Reflector Lamps,Rule,Energy Department,"The Energy Policy and Conservation Act of 1975 (EPCA), as amended, prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment, including general service fluorescent lamps (GSFLs) and incandescent reflector lamps (IRLs). EPCA also requires the U.S. Department of Energy (DOE) to determine whether more-stringent standards would be technologically feasible and economically justified, and would save a significant amount of energy. In this final rule, DOE is adopting more-stringent energy conservation standards for GSFLs. It has determined that the amended energy conservation standards for these products would result in significant conservation of energy, and are technologically feasible and economically justified. DOE concluded in this final rule that amending energy conservation standards for IRLs would not be economically justified.", 2015-00317,https://www.federalregister.gov/documents/2015/01/26/2015-00317/energy-conservation-program-energy-conservation-standards-for-general-service-fluorescent-lamps-and,https://www.govinfo.gov/content/pkg/FR-2015-01-26/pdf/2015-00317.pdf,01/26/2015
"Standards of Performance for New Residential Wood Heaters, New Residential Hydronic Heaters and Forced-Air Furnaces",Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA) is taking final action to revise the Standards of Performance for New Residential Wood Heaters and to add a new subpart: Standards of Performance for New Residential Hydronic Heaters and Forced-Air Furnaces. Today's rule is authorized by section 111(b) and section 114 of the Clean Air Act (CAA). The EPA is not finalizing, at this time, the proposed Standards of Performance for New Residential Masonry Heaters in order to allow additional time for the Masonry Heater Association to finish their efforts to develop revised test methods, an emissions calculation program and an alternative dimensioning standard. This final rule achieves several objectives for new residential wood heaters, including applying updated emission limits that reflect the current best systems of emission reduction; eliminating exemptions over a broad suite of residential wood combustion devices; strengthening test methods as appropriate; and streamlining the certification process. Residential wood smoke emissions are a significant national air pollution problem and human health issue. These emissions occur in many neighborhoods across the country, including minority and low-income neighborhoods, and impact people in their homes. To the extent that children and other sensitive populations are particularly susceptible to asthma, and that minority populations and low-income populations are more vulnerable, this rule will significantly reduce the pollutants that adversely affect their health. On an economic basis, the public benefits of this rule vastly outweigh the costs, with every dollar in additional cost producing more than $100 in public benefit. This final action does not include any requirements for heaters solely fired by gas, oil or coal. In addition, it does not include any new requirements associated with appliances that are already in use. The EPA continues to strongly encourage state, local, tribal, industry and consumer efforts to change out (replace) older heaters with newer, cleaner, more efficient heaters. Additional information is on the EPA Burn Wise Web site at www.epa.gov/burnwise. Also, we encourage state, local, and tribal authorities to develop site-specific installation and operating requirements to help ensure healthy air for all.", 2015-03733,https://www.federalregister.gov/documents/2015/03/16/2015-03733/standards-of-performance-for-new-residential-wood-heaters-new-residential-hydronic-heaters-and,https://www.govinfo.gov/content/pkg/FR-2015-03-16/pdf/2015-03733.pdf,03/16/2015
Energy Conservation Program: Energy Conservation Standards for Commercial Clothes Washers,Rule,Energy Department,"The Energy Policy and Conservation Act of 1975 (EPCA), as amended, prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment, including commercial clothes washers (CCWs). EPCA also requires that any new or amended energy conservation standard must be designed to achieve the maximum improvement in energy efficiency that would be technologically feasible and economically justified, and would save a significant amount of energy. In this final rule, the U.S. Department of Energy (DOE) is adopting more stringent energy conservation standards for CCWs because DOE has determined that the amended energy conservation standards for CCWs would result in significant conservation of energy, and are technologically feasible and economically justified.", 2014-29197,https://www.federalregister.gov/documents/2014/12/15/2014-29197/energy-conservation-program-energy-conservation-standards-for-commercial-clothes-washers,https://www.govinfo.gov/content/pkg/FR-2014-12-15/pdf/2014-29197.pdf,12/15/2014
National Pollutant Discharge Elimination System-Final Regulations To Establish Requirements for Cooling Water Intake Structures at Existing Facilities and Amend Requirements at Phase I Facilities,Rule,Environmental Protection Agency,"The purpose of this action is to reduce impingement and entrainment of fish and other aquatic organisms at cooling water intake structures used by certain existing power generation and manufacturing facilities for the withdrawal of cooling water from waters of the United States. This rule establishes requirements under section 316(b) of the Clean Water Act (CWA) for existing power generating facilities and existing manufacturing and industrial facilities that are designed to withdraw more than 2 million gallons per day (mgd) of water from waters of the United States and use at least 25 percent of the water they withdraw exclusively for cooling purposes. These national requirements, which will be implemented through National Pollutant Discharge Elimination System (NPDES) permits, apply to the location, design, construction, and capacity of cooling water intake structures (CWIS) at regulated facilities and provide requirements that reflect the best technology available (BTA) for minimizing adverse environmental impact. On April 20, 2011, EPA published a proposed rule that included several options for addressing these impacts. Subsequently, EPA published two Notices of Data Availability (NODA), on June 11, 2012 and June 12, 2012, that further clarified EPA's proposed approach. This final rule also responds to judicial remand of aspects of the previously promulgated Phase II and Phase III section 316(b) rules. In addition, EPA is also responding to an earlier judicial decision by removing from the previously promulgated Phase I new facility rule a restoration-based compliance alternative and the associated monitoring and demonstration requirements.", 2014-12164,https://www.federalregister.gov/documents/2014/08/15/2014-12164/national-pollutant-discharge-elimination-system-final-regulations-to-establish-requirements-for,https://www.govinfo.gov/content/pkg/FR-2014-08-15/pdf/2014-12164.pdf,08/15/2014
Energy Conservation Program for Consumer Products: Energy Conservation Standards for Residential Furnace Fans,Rule,Energy Department,"Pursuant to the Energy Policy and Conservation Act of 1975 (EPCA), as amended, the U.S. Department of Energy (DOE) must prescribe energy conservation standards for various consumer products and certain commercial and industrial equipment, including residential furnace fans. EPCA requires DOE to determine whether such standards would be technologically feasible and economically justified, and would save a significant amount of energy. In this final rule, DOE is adopting new energy conservation standards for residential furnace fans. DOE has determined that the prescribed energy conservation standards for these products would result in significant conservation of energy, and are technologically feasible and economically justified.", 2014-15387,https://www.federalregister.gov/documents/2014/07/03/2014-15387/energy-conservation-program-for-consumer-products-energy-conservation-standards-for-residential,https://www.govinfo.gov/content/pkg/FR-2014-07-03/pdf/2014-15387.pdf,07/03/2014
Energy Conservation Program: Energy Conservation Standards for Walk-In Coolers and Freezers,Rule,Energy Department,"The Energy Policy and Conservation Act of 1975 (EPCA), as amended, prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment, including walk-in coolers and walk-in freezers. EPCA also requires the U.S. Department of Energy (DOE) to determine whether more-stringent standards would be technologically feasible and economically justified, and would save a significant amount of energy. In this final rule, DOE is adopting more-stringent energy conservation standards for some classes of walk-in cooler and walk-in freezer components and has determined that these standards are technologically feasible and economically justified and would result in the significant conservation of energy.", 2014-11489,https://www.federalregister.gov/documents/2014/06/03/2014-11489/energy-conservation-program-energy-conservation-standards-for-walk-in-coolers-and-freezers,https://www.govinfo.gov/content/pkg/FR-2014-06-03/pdf/2014-11489.pdf,06/03/2014
Energy Conservation Program: Energy Conservation Standards for Commercial and Industrial Electric Motors,Rule,Energy Department,"The Energy Policy and Conservation Act of 1975 (EPCA), as amended, prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment, including commercial and industrial electric motors. EPCA also requires the U.S. Department of Energy (DOE) to determine whether more-stringent, amended standards would be technologically feasible and economically justified, and would save a significant amount of energy. In this final rule, DOE establishes energy conservation standards for a number of different groups of electric motors that DOE has not previously regulated. For those groups of electric motors currently regulated, today's rulemaking would maintain the current energy conservation standards for some electric motor types and amend the energy conservation standards for other electric motor types. DOE has determined that the new and amended energy conservation standards for this equipment would result in significant conservation of energy, and are technologically feasible and economically justified.", 2014-11201,https://www.federalregister.gov/documents/2014/05/29/2014-11201/energy-conservation-program-energy-conservation-standards-for-commercial-and-industrial-electric,https://www.govinfo.gov/content/pkg/FR-2014-05-29/pdf/2014-11201.pdf,05/29/2014
Energy Conservation Program: Energy Conservation Standards for Commercial Refrigeration Equipment,Rule,Energy Department,"The Energy Policy and Conservation Act of 1975 (EPCA), as amended, prescribes energy conservation standards for various consumer products and certain commercial and industrial equipment, including commercial refrigeration equipment (CRE). EPCA also requires the U.S. Department of Energy (DOE) to determine whether more-stringent standards would be technologically feasible and economically justified, and would save a significant amount of energy. In this final rule, DOE is adopting more-stringent energy conservation standards for some classes of commercial refrigeration equipment. It has determined that the amended energy conservation standards for these products would result in significant conservation of energy, and are technologically feasible and economically justified.", 2014-05082,https://www.federalregister.gov/documents/2014/03/28/2014-05082/energy-conservation-program-energy-conservation-standards-for-commercial-refrigeration-equipment,https://www.govinfo.gov/content/pkg/FR-2014-03-28/pdf/2014-05082.pdf,03/28/2014
